Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,US,XBA,Aberdeen,Aberdeen,SC,RQ,--3-----,9307,,4659N 12349W,,"46.975371,-123.815722",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/238017
,US,ABR,Aberdeen,Aberdeen,SD,RL,--34----,0401,,4527N 09829W,,"45.45000,-98.48333",2,UN/LOCODE
,US,GHR,Aberdeen,Aberdeen,WA,RL,--3-----,0201,,4658N 12349W,,"46.96667,-123.81667",1,UN/LOCODE
,US,AN7,Aberdin,Aberdin,NC,RL,-----6--,1201,,3508N 07925W,,"35.13333,-79.41667",1976,UN/LOCODE
,US,UAF,Abernathy,Abernathy,TX,RQ,--3-----,9307,,3350N 10151W,,"33.8323812,-101.8430151",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/3488484
,US,ABZ,Abilene,Abilene,KS,RQ,--3-----,9307,,3855N 09713W,,"38.917252,-97.21377",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/129978
,US,ABI,Abilene,Abilene,TX,RQ,--34----,9008,,3227N 09945W,,"32.44645,-99.7475905",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/3488539
,US,ABG,Abingdon,Abingdon,IL,RQ,--3-----,9307,,4048N 09024W,,"40.8044833,-90.4017954",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/125497
,US,NGD,Abingdon,Abingdon,MD,RL,--3-----,0701,,3927N 07616W,,"39.45000,-76.26667",2,UN/LOCODE
,US,VJI,Abingdon,Abingdon,VA,RL,-23-----,0212,,3642N 08159W,,"36.70000,-81.98333",1,UN/LOCODE
,US,UUM,Abington,Abington,MA,RL,-23-----,0607,,4207N 07056W,,"42.11667,-70.93333",2,UN/LOCODE
,US,AP3,Abington,Abington,PA,RL,--3-----,1301,,4007N 07507W,,"40.11667,-75.11667",0,UN/LOCODE
,US,AQ2,Abiquiu,Abiquiu,NM,RL,--3-----,1201,,3612N 10619W,,"36.20000,-106.31667",1,UN/LOCODE
,US,TPG,Abita Springs,Abita Springs,LA,RL,--3-----,0701,,3028N 09002W,,"30.46667,-90.03333",1,UN/LOCODE
,US,QYA,Abrams,Abrams,WI,RL,--3-----,1207,,4446N 08803W,,"44.76667,-88.05000",4,UN/LOCODE
,US,ACX,Absecon,Absecon,NJ,RL,--3--6--,0507,,3925N 07429W,,"39.41667,-74.48333",2,UN/LOCODE
,US,AA4,Acampo,Acampo,CA,RL,-23--6--,0607,,3810N 12117W,,"38.16667,-121.28333",1,UN/LOCODE
,US,AJT,Accident,Accident,MD,RL,--3-----,0701,,3938N 07919W,,"39.63333,-79.31667",1,UN/LOCODE
,US,JOK,Accokeek,Accokeek,MD,RL,--3-----,1107,,3840N 07701W,,"38.66667,-77.01667",2,UN/LOCODE
,US,AQC,Accomac,Accomac,VA,RL,--3-----,0701,,3743N 07539W,,"37.71667,-75.65000",1,UN/LOCODE
,US,A8C,Accord,Accord,MA,RL,1-3-----,1401,,4210N 07053W,,"42.16667,-70.88333",1,UN/LOCODE
,US,AC9,Accord,Accord,NY,RL,--3-----,1601,,4147N 07413W,,"41.78333,-74.21667",1,UN/LOCODE
,US,ACR,Ackerman,Ackerman,GA,RQ,-23-----,0207,,3319N 08910W,,"33.3101243,-89.1728434",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/7154205
,US,UAG,Ackerman,Ackerman,MS,RL,-23-----,0207,,3318N 08910W,,"33.30000,-89.16667",1,UN/LOCODE
,US,AKY,Ackley,Ackley,IA,RQ,--3-----,9307,,4233N 09303W,,"42.5539454,-93.0526788",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/128725
,US,DMF,Acme,Acme,MI,RL,--3-----,1201,,4446N 08530W,,"44.76667,-85.50000",5,UN/LOCODE
,US,QZA,Acme,Acme,WA,RL,-23-----,0901,,4843N 12212W,,"48.71667,-122.20000",3,UN/LOCODE
,US,QCA,Acra,Acra,NY,RL,--3-----,0212,,4218N 07403W,,"42.30000,-74.05000",1,UN/LOCODE
,US,AXJ,Acton,Acton,CA,RL,--3-----,1607,,3428N 11811W,,"34.46667,-118.18333",2,UN/LOCODE
,US,T5C,Acton,Acton,IN,RL,--3-----,1607,,3939N 08558W,,"39.65000,-85.96667",1,UN/LOCODE
,US,UAH,Acton,Acton,MA,RQ,--3-----,9307,,4229N 07126W,,"42.4850931,-71.43284",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/1832779
,US,8ON,Acton,Acton,ME,RL,--3-----,1807,,4332N 07054W,,"43.53333,-70.90000",1,UN/LOCODE
,US,TZO,Acton,Acton,TX,RQ,--3-----,0907,,3226N 09741W,,"32.43333,-97.68333",2,UN/LOCODE
,US,KUS,Acushnet,Acushnet,MA,RL,--3-----,0901,,4140N 07054W,,"41.66667,-70.90000",2,UN/LOCODE
,US,AWR,Acworth,Acworth,GA,RL,--3-----,0002,,3404N 08441W,,"34.0659329,-84.6768796",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/119638
,US,6WT,Acworth,Acworth,NH,RL,--3-----,1607,,4313N 07217W,,"43.21667,-72.28333",1,UN/LOCODE
,US,ADZ,Ada,Ada,MI,RQ,--3-----,9307,,4258N 08530W,,"42.9593729,-85.4961581",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/7891967
,US,DD2,Ada,Ada,MN,RL,-23--6--,0607,,4718N 09631W,,"47.30000,-96.51667",0,UN/LOCODE
,US,AJJ,Ada,Ada,OH,RL,--3--6--,0901,,4046N 08349W,,"40.76667,-83.81667",1,UN/LOCODE
,US,ADT,Ada,Ada,OK,AI,--3-----,9601,,3446N 09641W,,"34.7743383,-96.6783651",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/184911
,US,A59,Adair,Adair,IA,RL,--3-----,1801,,4130N 09438W,,"41.50000,-94.63333",1,UN/LOCODE
,US,2AR,Adair,Adair,OK,RL,--3-----,1307,,3626N 09516W,,"36.43333,-95.26667",1,UN/LOCODE
,US,ADV,Adairsville,Adairsville,GA,RQ,--3-----,9008,,3422N 08456W,,"34.3683267,-84.9349057",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/119623
,US,AD3,Adairville,Adairville,KY,RL,--3-----,1107,,3640N 08651W,,"36.66667,-86.85000",0,UN/LOCODE
,US,AXK,Adak,Adak,AK,RL,--3-----,0901,,5148N 17634W,,"51.79622495,-176.57442259513414",465,https://www.openstreetmap.org/relation/3957015
,US,ADK,Adak Island/Adak Apt,Adak Island/Adak Apt,AK,AI,---4----,9601,,5148N 17634W,,"51.79622495,-176.57442259513414",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/3957015
,US,UAN,Adams,Adams,MA,RQ,--3-----,9307,,4238N 07307W,,"42.6269809,-73.1155216",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/1839543
,US,UAT,Adams,Adams,OR,RQ,--3-----,9307,,4546N 11834W,,"45.7678717,-118.56287",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/186735
,US,AKM,Adams,Adams,TN,RL,-23-----,0607,,3635N 08704W,,"36.58333,-87.06667",0,UN/LOCODE
,US,AZM,Adams,Adams,WI,RL,-23-----,0607,,4357N 08948W,,"43.95000,-89.80000",2,UN/LOCODE
,US,ADH,Adams Center,Adams Center,NY,RL,--3-----,0907,,4349N 07601W,,"43.81667,-76.01667",5,UN/LOCODE
,US,YP2,Adams City,Adams City,CO,RL,--3-----,1407,,3949N 10455W,,"39.81667,-104.91667",1,UN/LOCODE
,US,UAJ,Adams Run,Adams Run,SC,RL,--3--6--,0601,,3243N 08021W,,"32.71667,-80.35000",0,UN/LOCODE
,US,DST,Adamston,Adamston,WV,RL,123--6--,0407,,3917N 08021W,,"39.28333,-80.35000",1,UN/LOCODE
,US,AN6,Adamstown,Adamstown,MD,RL,-----6--,1201,,3918N 07728W,,"39.30000,-77.46667",1,UN/LOCODE
,US,AEJ,Adamstown,Adamstown,PA,RL,--3-----,0601,,4014N 07604W,,"40.23333,-76.06667",1,UN/LOCODE
,US,6LA,Adamsville,Adamsville,AL,RL,--3-----,1607,,3336N 08657W,,"33.60000,-86.95000",1,UN/LOCODE
,US,UAM,Adamsville,Adamsville,TN,RQ,--3-----,9307,,3516N 08823W,,"35.269741499999995,-88.39044384249743",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/195490
,US,ADD,Addis,Addis,LA,RQ,--3-----,9307,,3021N 09116W,,"30.3538043,-91.2653865",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/132106
,US,ADS,Addison,Addison,AL,RQ,--3-----,0002,,3412N 08711W,,"34.2023243,-87.1814012",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/110355
,US,UAP,Addison,Addison,IL,RQ,--3-----,9307,,4156N 08759W,,"41.931696,-87.9889556",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/125456
,US,IAB,Addison,Addison,ME,RL,1-3--6--,0601,,4437N 06745W,,"44.61667,-67.75000",1,UN/LOCODE
,US,YAI,Addison,Addison,MI,RL,--3-----,0212,,4159N 08421W,,"41.98333,-84.35000",0,UN/LOCODE
,US,XDS,Addison,Addison,NY,RL,--3-----,1207,,4206N 07714W,,"42.10000,-77.23333",1,UN/LOCODE
,US,ADX,Addison,Addison,OH,RQ,--3-----,9307,,3853N 08209W,,"38.8863695,-82.1460136",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/153941514#map=12/38.8863695/-82.1460136
,US,QDS,Addison,Addison,PA,RQ,--3-----,1001,,3944N 07920W,,"39.73333,-79.33333",7,UN/LOCODE
,US,DDX,Addison,Addison,TX,RL,--3-----,0201,,3258N 09650W,,"32.96667,-96.83333",1,UN/LOCODE
,US,UAS,Addyston,Addyston,OH,RQ,--3-----,9307,,3908N 08443W,,"39.1367249,-84.709114",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/182215
,US,ADE,Adel,Adel,GA,RQ,--3-----,9307,,3108N 08325W,,"31.1371358,-83.4234936",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/119575
,US,ZAE,Adel,Adel,IA,RL,--3-----,0212,,4137N 09401W,,"41.61667,-94.01667",0,UN/LOCODE
,US,ADU,Adelanto,Adelanto,CA,RL,--3-----,0507,,3434N 11724W,,"34.56667,-117.40000",2,UN/LOCODE
,US,AJD,Adell,Adell,WI,RL,-23-----,0607,,4337N 08757W,,"43.61667,-87.95000",0,UN/LOCODE
,US,A9D,Adelphi,Adelphi,MD,RL,--3-----,1301,,3859N 07658W,,"38.98333,-76.96667",2,UN/LOCODE
,US,AHP,Adelphia,Adelphia,NJ,RL,--3-----,0701,,4013N 07415W,,"40.21667,-74.25000",1,UN/LOCODE
,US,AGE,Adger,Adger,AL,AI,--3-----,9601,,3323N 08706W,,"33.3770561,-87.0936065",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/153367567#map=12/33.3770561/-87.0936065
,US,RZU,Adkins,Adkins,TX,RL,--3-----,1401,,2923N 09814W,,"29.38333,-98.23333",1,UN/LOCODE
,US,ADG,Adrian,Adrian,MI,AI,---4----,9601,,4154N 08402W,,"41.8975152,-84.0373054",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/135101
,US,AI4,Adrian,Adrian,MN,RL,--3-----,1301,,4338N 09555W,,"43.63333,-95.91667",1,UN/LOCODE
,US,AQA,Adrian,Adrian,OH,RL,--3-----,0701,,4105N 08319W,,"41.08333,-83.31667",9,UN/LOCODE
,US,UAO,Adrian,Adrian,OR,RQ,--3-----,9307,,4344N 11704W,,"43.7407105,-117.0716804",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/14086154
,US,AD9,Adrian,Adrian,PA,RL,-----6--,1201,,4053N 07932W,,"40.88333,-79.53333",0,UN/LOCODE
,US,5AN,Adrian,Adrian,TX,RL,--3-----,1307,,3516N 10239W,,"35.26667,-102.65000",2,UN/LOCODE
,US,DIA,Adrian,Adrian,WI,RL,1-3-----,0407,,4356N 09036W,,"43.93333,-90.60000",1,UN/LOCODE
,US,AR8,Adrian,Adrian,WV,RL,--3-----,1301,,3854N 08016W,,"38.90000,-80.26667",1,UN/LOCODE
,US,A2D,Advance,Advance,IN,RL,--3-----,0901,,3959N 08637W,,"39.98333,-86.61667",1,UN/LOCODE
,US,AVX,Advance,Advance,MO,RL,--3-----,0201,,3706N 08954W,,"37.10000,-89.90000",1,UN/LOCODE
,US,UAR,Advance,Advance,NC,RQ,--3-----,9307,,3556N 08025W,,"35.9412851,-80.4096455",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/154018208#map=12/35.9412851/-80.4096455
,US,AFF,Affton,Affton,MO,RL,-23--6--,0607,,3833N 09019W,,"38.55000,-90.31667",1,UN/LOCODE
,US,AFK,Afognak,Afognak,AK,RL,1-------,0105,,5800N 15246W,,"58.00000,-152.76667",1,UN/LOCODE
,US,AF5,Afton,Afton,IA,RL,1-3-----,1401,,4101N 09411W,,"41.01667,-94.18333",2,UN/LOCODE
,US,AF9,Afton,Afton,MI,RL,--3-----,1407,,4522N 08429W,,"45.36667,-84.48333",1,UN/LOCODE
,US,FJT,Afton,Afton,MN,RL,--3-----,1201,,4454N 09247W,,"44.90000,-92.78333",0,UN/LOCODE
,US,AS7,Afton,Afton,OK,RQ,--3-----,0907,,3641N 09457W,,"36.68333,-94.95000",2,UN/LOCODE
,US,AFT,Afton,Afton,TN,RQ,--3-----,9307,,3612N 08244W,,"36.1939922,-82.738763",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/154014251#map=12/36.1939922/-82.738763
,US,AFQ,Afton,Afton,VA,RQ,--3-----,9307,,3802N 07850W,,"38.0323598,-78.839189",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/157566375#map=12/38.0323598/-78.839189
,US,AFO,Afton,Afton,WY,AI,---4----,0001,,4244N 11056W,,"42.7252774,-110.933402",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/252259
,US,XBL,Agawam,Agawam,MA,RQ,--3-----,9307,,4204N 07237W,,"42.0688621,-72.6151604",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/1181612
,US,UAX,Agoura,Agoura,CA,RQ,--3-----,9307,,3409N 11846W,,"34.14791,-118.7657042",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/7876409
,US,AGH,Agoura Hills,Agoura Hills,CA,RL,--3-----,0601,,3409N 11847W,,"34.15000,-118.78333",2,UN/LOCODE
,US,A2G,Agua Dulce,Agua Dulce,CA,RL,--3-----,0901,,3429N 11819W,,"34.48333,-118.31667",2,UN/LOCODE
,US,T7X,Agua Dulce,Agua Dulce,TX,RL,--3-----,1501,,2746N 09754W,,"27.76667,-97.90000",2,UN/LOCODE
,US,GKG,Aguanga,Aguanga,CA,RL,--3-----,0901,,3326N 11651W,,"33.43333,-116.85000",2,UN/LOCODE
,US,AHE,Ahoskie,Ahoskie,NC,RL,--3-----,0201,,3617N 07700W,,"36.28333,-77.00000",1,UN/LOCODE
,US,AH2,Ahsahka,Ahsahka,ID,AA,--3-----,1601,,4630N 11619W,,"46.50000,-116.31667",1,UN/LOCODE
,US,AIE,Aiea (Oahu),Aiea (Oahu),HI,RQ,--3-----,9307,,2123N 15755W,,"21.385987,-157.92389027812496",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/119221
,US,AIK,Aiken,Aiken,SC,AI,--34----,9601,,3334N 08143W,,"33.5616173,-81.7224579",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/2532496
,US,YAY,Ailey,Ailey,GA,RL,-23-----,0701,,3211N 08234W,,"32.18333,-82.56667",0,UN/LOCODE
,US,AW2,Ainsworth,Ainsworth,NE,RQ,--34----,0907,ANW,4233N 09952W,,"42.55000,-99.86667",0,UN/LOCODE
,US,A2M,Airmont,Airmont,NY,AA,--3-----,1601,,4106N 07407W,,"41.10000,-74.11667",0,UN/LOCODE
,US,AYH,Airway Heights,Airway Heights,WA,RL,-23--6--,0601,,4739N 11735W,,"47.65000,-117.58333",1,UN/LOCODE
,US,KN9,Aitkin,Aitkin,MN,RL,--3-----,1707,,4631N 09342W,,"46.51667,-93.70000",2,UN/LOCODE
,US,AJ9,Ajo,Ajo,AZ,RL,--3-----,1307,,3222N 11251W,,"32.36667,-112.85000",2,UN/LOCODE
,US,AKQ,Akers,Akers,LA,RL,--3-----,1301,,3017N 09024W,,"30.28333,-90.40000",1,UN/LOCODE
,US,AKK,Akhiok,Akhiok,AK,AI,---4----,0001,,5657N 15413W,,"56.9447485,-154.21218624619144",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/16770741
,US,KKI,Akiachak,Akiachak,AK,AI,---4----,0001,,6055N 16127W,,"60.9108566,-161.4423257",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/16770778
,US,AKI,Akiak,Akiak,AK,AI,---4----,0001,,6054N 16113W,,"60.9030685,-161.21255318557024",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/16770783
,US,AKO,Akron,Akron,CO,AI,---4----,0001,,4010N 10313W,,"40.1605374,-103.214384",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/8309635
,US,AK5,Akron,Akron,IA,AA,--3-----,1601,,4249N 09633W,,"42.81667,-96.55000",1,UN/LOCODE
,US,AKC,Akron,Akron,IN,RL,--3-----,0212,,4102N 08602W,,"41.03333,-86.03333",1,UN/LOCODE
,US,AKA,Akron,Akron,MI,RL,--3-----,0212,,4334N 08331W,,"43.56667,-83.51667",9,UN/LOCODE
,US,AKR,Akron,Akron,NY,RQ,--3-----,9307,,4301N 07830W,,"43.0208924,-78.4953015",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/176037
,US,AKH,Akron,Akron,OH,RL,--34----,1101,CAK,4104N 08132W,,"41.06667,-81.53333",2,UN/LOCODE
,US,ARN,Akron,Akron,PA,RQ,--3-----,9307,,4009N 07612W,,"40.1567616,-76.2021742",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/187693
,US,KQA,Akutan,Akutan,AK,AI,---4----,0607,,5408N 16546W,,"54.13333,-165.76667",13,UN/LOCODE
,US,A9L,Alabama,Alabama,NY,RL,--3-----,1301,,4305N 07823W,,"43.08333,-78.38333",2,UN/LOCODE
,US,ZAC,Alabama City,Alabama City,AL,RL,-----6--,0901,,3401N 08603W,,"34.0223194,-86.0455285",185,https://www.openstreetmap.org/node/153741438#map=12/34.0223194/-86.0455285
,US,AA2,Alabama Pt.,Alabama Pt.,AL,RL,1-------,1307,,3021N 08806W,,"30.35000,-88.10000",2,UN/LOCODE
,US,LBA,Alabaster,Alabaster,AL,RL,--3-----,0501,,3314N 08648W,,"33.23333,-86.80000",2,UN/LOCODE
,US,AHU,Alachua,Alachua,FL,RL,1-3-----,0212,,2947N 08229W,,"29.78333,-82.48333",1,UN/LOCODE
,US,DNJ,Aladdin,Aladdin,WY,RL,--3-----,0901,,4438N 10410W,,"44.63333,-104.16667",2,UN/LOCODE
,US,AUK,Alakanuk,Alakanuk,AK,AI,---4----,0001,,6242N 16437W,,"62.693477,-164.62412925690506",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/16770749
,US,AMC,Alamance,Alamance,NC,RL,--3-----,0002,,3602N 07929W,,"36.0351361,-79.4858549",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/179971
,US,NGZ,Alameda,Alameda,CA,AI,1--4----,0001,,3746N 12214W,,"37.7652076,-122.241635",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/2999120
,US,UBB,Alamo,Alamo,CA,RQ,--3-----,9307,,3751N 12202W,,"37.8502033,-122.032184",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/150940994#map=12/37.8502033/-122.032184
,US,AM8,Alamo,Alamo,NV,RL,-----6--,1401,,3721N 11509W,,"37.35000,-115.15000",2,UN/LOCODE
,US,AMT,Alamo,Alamo,TN,RQ,--3-----,9307,,3547N 08907W,,"35.7847949,-89.1172883",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/197367
,US,AMO,Alamo,Alamo,TX,RQ,--3-----,9307,,2611N 09807W,,"26.1836854,-98.1230638",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/113799
,US,ALM,Alamogordo,Alamogordo,NM,AI,--34----,0507,,3253N 10557W,,"32.88333,-105.95000",2,UN/LOCODE
,US,ALS,Alamosa,Alamosa,CO,AI,---4----,0001,,3728N 10552W,,"37.469877,-105.8696",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/112682
,US,YAN,Alanson,Alanson,MI,RL,123--6--,0307,,4526N 08447W,,"45.43333,-84.78333",1,UN/LOCODE
,US,TLB,Alba,Alba,MI,RL,--3-----,1201,,4458N 08458W,,"44.96667,-84.96667",1,UN/LOCODE
,US,XAB,Alba,Alba,TX,RL,--3-----,0901,,3248N 09538W,,"32.80000,-95.63333",1,UN/LOCODE
,US,ALA,Albany,Albany,CA,RQ,--3-----,9307,,3753N 12218W,,"37.88687,-122.2977475",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/2999142
,US,ABY,Albany,Albany,GA,AI,---4----,9601,,3135N 08409W,,"31.5782062,-84.1556809",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/119877
,US,AJB,Albany,Albany,IL,RL,--3-5---,1001,,4147N 09013W,,"41.78333,-90.21667",1,UN/LOCODE
,US,AB5,Albany,Albany,IN,RQ,--3--6--,1001,,4018N 08515W,,"40.30000,-85.25000",1,UN/LOCODE
,US,AY9,Albany,Albany,KY,RL,--3-----,0901,,3641N 08508W,,"36.68333,-85.13333",1,UN/LOCODE
,US,A7Y,Albany,Albany,LA,RL,--3-----,1801,,3030N 09035W,,"30.50000,-90.58333",0,UN/LOCODE
,US,AL2,Albany,Albany,MN,RL,-23--6--,0607,,4537N 09434W,,"45.61667,-94.56667",2,UN/LOCODE
,US,5BN,Albany,Albany,MO,RL,--3-----,1607,,4014N 09419W,,"40.23333,-94.31667",2,UN/LOCODE
,US,ALB,Albany,Albany,NY,AI,1--4----,0207,,4239N 07345W,,"42.6511674,-73.754968",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/175549
,US,UBA,Albany,Albany,OH,RQ,--3-----,9307,,3914N 08212W,,"39.2275735,-82.2023695",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/182848
,US,AYK,Albany,Albany,OR,RL,#NAME?,0701,,4438N 12306W,apt cf US CVO,"44.63333,-123.10000",1,UN/LOCODE
,US,UBE,Albany,Albany,TX,RQ,--3-----,9307,,3244N 09918W,,"32.728072,-99.2946024",N/A (no UN/LOCODE),https://www.openstreetmap.org/way/33199753#map=12/32.728072/-99.2946024
,US,AYX,Albany,Albany,VT,RL,--3-----,0901,,4443N 07222W,,"44.71667,-72.36667",2,UN/LOCODE
,US,AYW,Albany,Albany,WI,RL,--3-----,0701,,4242N 08926W,,"42.70000,-89.43333",1,UN/LOCODE
,US,AB2,Albany,Albany,WY,RL,-23-----,0607,,4111N 10608W,,"41.18333,-106.13333",0,UN/LOCODE
,US,CVO,Corvallis-Albany Apt,Corvallis-Albany Apt,OR,AI,---4----,9601,,,,,N/A,N/A
,US,UAD,Albemarle,Albemarle,NC,RQ,--3-----,9307,,3521N 08012W,,"35.3501426,-80.2000578",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/180338
,US,LXR,Albers,Albers,IL,RL,----5---,1401,,3832N 08936W,,"38.53333,-89.60000",2,UN/LOCODE
,US,AEL,Albert Lea,Albert Lea,MN,AI,--34----,9601,,4339N 09322W,,"43.6480127,-93.3682656",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/137598
,US,A8A,Alberta,Alberta,AL,RL,--3-----,1701,,3213N 08724W,,"32.21667,-87.40000",2,UN/LOCODE
,US,OBQ,Albertson,Albertson,NY,RL,--3-----,0701,,4046N 07338W,,"40.76667,-73.63333",1,UN/LOCODE
,US,ABV,Albertville,Albertville,AL,RQ,--3-----,9307,,3416N 08613W,,"34.2675937,-86.2088669",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/110415
,US,ALV,Albertville,Albertville,MN,RQ,--3-----,9307,,4514N 09340W,,"45.2347086,-93.6642199",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/136819
,US,AL6,Albia,Albia,IA,RL,--3-----,1207,,4102N 09248W,,"41.0264561,-92.8075217",10875,https://www.openstreetmap.org/relation/128748
,US,AQI,Albin,Albin,WY,RL,-23-----,0607,,4125N 10406W,,"41.41667,-104.10000",0,UN/LOCODE
,US,AB7,Albion,Albion,IA,RL,--3-----,0901,,4206N 09259W,,"42.10000,-92.98333",1,UN/LOCODE
